dist_num,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
1,62781,35208,13657,138,10835,29,1088,1826,62781,59015,32952,13452,95,10790,22,157,1547,3766,2256,205,43,45,7,931,279
2,95439,19189,66577,187,5867,13,963,2643,95439,92197,17747,65993,138,5837,13,202,2267,3242,1442,584,49,30,0,761,376
3,75235,1654,71508,182,318,4,332,1237,75235,74112,1472,71010,169,312,4,98,1047,1123,182,498,13,6,0,234,190
4,123575,26117,77303,689,311,31,16378,2746,123575,88194,9925,76399,223,258,29,138,1222,35381,16192,904,466,53,2,16240,1524
5,74396,1629,70429,166,41,10,1202,919,74396,71872,843,70064,118,38,8,55,746,2524,786,365,48,3,2,1147,173
6,90841,446,88938,182,61,7,269,938,90841,89927,312,88525,164,61,6,60,799,914,134,413,18,0,1,209,139
7,71071,511,69202,149,62,9,435,703,71071,69904,262,68787,136,56,8,49,606,1167,249,415,13,6,1,386,97
8,247373,118778,53462,1632,2168,61,64904,6368,247373,107519,51491,52219,247,2001,18,231,1312,139854,67287,1243,1385,167,43,64673,5056
9,165201,65820,19860,1153,26106,35,47743,4484,165201,70591,24307,19044,173,25894,16,146,1011,94610,41513,816,980,212,19,47597,3473
10,118093,38171,40080,1099,321,16,35543,2863,118093,44652,4300,39440,144,239,3,121,405,73441,33871,640,955,82,13,35422,2458
11,70474,4673,60385,174,356,18,3782,1086,70474,62356,1664,59671,73,329,4,46,569,8118,3009,714,101,27,14,3736,517
12,127869,69537,23781,839,8290,94,21374,3954,127869,85540,51775,23039,185,8148,49,273,2071,42329,17762,742,654,142,45,21101,1883
14,117738,75162,9448,828,3779,68,23759,4694,117738,63699,49809,8027,189,3604,33,236,1801,54039,25353,1421,639,175,35,23523,2893
15,59458,1571,55861,144,187,7,1041,647,59458,57193,959,55468,107,174,5,24,456,2265,612,393,37,13,2,1017,191
16,199476,162554,2438,854,10920,99,17142,5469,199476,154042,138043,2022,299,10711,44,266,2657,45434,24511,416,555,209,55,16876,2812
17,144096,84601,5625,1024,17692,85,27794,7275,144096,81864,55743,4782,321,17373,48,409,3188,62232,28858,843,703,319,37,27385,4087
18,117041,92302,10875,153,9837,49,1455,2370,117041,111235,88418,10681,108,9775,39,237,1977,5806,3884,194,45,62,10,1218,393
19,200786,161709,13753,558,12426,85,7031,5224,200786,180761,150551,13305,308,12277,67,341,3912,20025,11158,448,250,149,18,6690,1312
20,91279,57451,10230,510,12938,34,6922,3194,91279,74760,49420,9909,223,12792,27,251,2138,16519,8031,321,287,146,7,6671,1056
22,101941,36750,62510,165,366,27,686,1437,101941,98623,34863,62094,112,352,25,82,1095,3318,1887,416,53,14,2,604,342
24,141038,73653,26057,780,20954,72,13795,5727,141038,111292,60488,25322,351,20796,45,466,3824,29746,13165,735,429,158,27,13329,1903
25,200391,85347,35629,1731,3329,160,66851,7344,200391,67386,29371,33033,214,3086,44,339,1299,133005,55976,2596,1517,243,116,66512,6045
31,24266,21756,129,43,1227,6,744,361,24266,22036,20452,116,23,1205,3,23,214,2230,1304,13,20,22,3,721,147
